RowId,SchoolYear,OrganizationLevel,organizationid,County,ESDName,ESDOrganizationId,DistrictCode,DistrictName,DistrictOrganizationId,SchoolCode,SchoolName,SchoolOrganizationId,CurrentSchoolType,TeacherTotalCount,DemographicCategoryType,DemographicCategoryId,DemographicCategory,TeacherCount,TeacherPercent,SumYearsExperience,AvgYearsExperience,MA+Count,MA+Percent,IsEEValidated,DataAsOf
14,2017-18,District,100010,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,NULL,NULL,NULL,NULL,211,All,0,All,211,1,2938.5,14.334146,127,0.601895735,1,03/09/2022 11:22
15,2017-18,District,100010,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,NULL,NULL,NULL,NULL,211,RaceEthnicity,1,American Indian/Alaskan Native,3,0.014218009,27.6,9.2,1,0.333333333,1,03/09/2022 11:22
16,2017-18,District,100010,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,NULL,NULL,NULL,NULL,211,RaceEthnicity,2,Asian,3,0.014218009,34.3,11.433333,3,1,1,03/09/2022 11:22
17,2017-18,District,100010,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,NULL,NULL,NULL,NULL,211,RaceEthnicity,4,Hispanic/Latino of any race(s),2,0.009478673,5,5,0,0,1,03/09/2022 11:22
18,2017-18,District,100010,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,NULL,NULL,NULL,NULL,211,RaceEthnicity,5,White,195,0.924170616,2784.9,14.580628,117,0.6,1,03/09/2022 11:22
19,2017-18,District,100010,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,NULL,NULL,NULL,NULL,211,RaceEthnicity,7,Two or More Races,6,0.028436019,70.8,11.8,5,0.833333333,1,03/09/2022 11:22
20,2017-18,District,100010,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,NULL,NULL,NULL,NULL,211,RaceEthnicity,8,Not Provided,2,0.009478673,15.9,15.9,1,0.5,1,03/09/2022 11:22
21,2017-18,District,100010,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,NULL,NULL,NULL,NULL,211,Gender,9,Female,157,0.744,NULL,NULL,NULL,NULL,1,03/09/2022 11:22
22,2017-18,District,100010,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,NULL,NULL,NULL,NULL,211,Gender,11,Male,54,0.256,NULL,NULL,NULL,NULL,1,03/09/2022 11:22
23,2017-18,District,100011,Lewis,Capital Region ESD 113,100004,21226,Adna School District,100011,NULL,NULL,NULL,NULL,37,All,0,All,37,1,582.5,15.743243,26,0.702702703,1,03/09/2022 11:22
24,2017-18,District,100011,Lewis,Capital Region ESD 113,100004,21226,Adna School District,100011,NULL,NULL,NULL,NULL,37,RaceEthnicity,5,White,37,1,582.5,15.743243,26,0.702702703,1,03/09/2022 11:22
25,2017-18,District,100011,Lewis,Capital Region ESD 113,100004,21226,Adna School District,100011,NULL,NULL,NULL,NULL,37,Gender,9,Female,23,0.622,NULL,NULL,NULL,NULL,1,03/09/2022 11:22
26,2017-18,District,100011,Lewis,Capital Region ESD 113,100004,21226,Adna School District,100011,NULL,NULL,NULL,NULL,37,Gender,11,Male,14,0.378,NULL,NULL,NULL,NULL,1,03/09/2022 11:22
27,2017-18,District,100012,Lincoln,Educational Service District 101,100001,22017,Almira School District,100012,NULL,NULL,NULL,NULL,12,All,0,All,12,1,187.5,17.045454,10,0.833333333,1,03/09/2022 11:22
28,2017-18,District,100012,Lincoln,Educational Service District 101,100001,22017,Almira School District,100012,NULL,NULL,NULL,NULL,12,RaceEthnicity,5,White,10,0.833333333,186.5,18.65,9,0.9,1,03/09/2022 11:22
29,2017-18,District,100012,Lincoln,Educational Service District 101,100001,22017,Almira School District,100012,NULL,NULL,NULL,NULL,12,RaceEthnicity,6,Native Hawaiian/Other Pacific Islander,1,0.083333333,1,1,0,0,1,03/09/2022 11:22
30,2017-18,District,100012,Lincoln,Educational Service District 101,100001,22017,Almira School District,100012,NULL,NULL,NULL,NULL,12,RaceEthnicity,8,Not Provided,1,0.083333333,0,0,1,1,1,03/09/2022 11:22
31,2017-18,District,100012,Lincoln,Educational Service District 101,100001,22017,Almira School District,100012,NULL,NULL,NULL,NULL,12,Gender,9,Female,9,0.75,NULL,NULL,NULL,NULL,1,03/09/2022 11:22
32,2017-18,District,100012,Lincoln,Educational Service District 101,100001,22017,Almira School District,100012,NULL,NULL,NULL,NULL,12,Gender,11,Male,3,0.25,NULL,NULL,NULL,NULL,1,03/09/2022 11:22
33,2017-18,District,100013,Skagit,Northwest Educational Service District 189,100009,29103,Anacortes School District,100013,NULL,NULL,NULL,NULL,158,All,0,All,158,1,2202.6,14.11923,109,0.689873418,1,03/09/2022 11:22
34,2017-18,District,100013,Skagit,Northwest Educational Service District 189,100009,29103,Anacortes School District,100013,NULL,NULL,NULL,NULL,158,RaceEthnicity,1,American Indian/Alaskan Native,1,0.006329114,23.4,23.4,0,0,1,03/09/2022 11:22
