OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B15002_001E,B15002_001M,B15002_002E,B15002_002M,B15002_003E,B15002_003M,B15002_004E,B15002_004M,B15002_005E,B15002_005M,B15002_006E,B15002_006M,B15002_007E,B15002_007M,B15002_008E,B15002_008M,B15002_009E,B15002_009M,B15002_010E,B15002_010M,B15002_011E,B15002_011M,B15002_012E,B15002_012M,B15002_013E,B15002_013M,B15002_014E,B15002_014M,B15002_015E,B15002_015M,B15002_016E,B15002_016M,B15002_017E,B15002_017M,B15002_018E,B15002_018M,B15002_019E,B15002_019M,B15002_020E,B15002_020M,B15002_021E,B15002_021M,B15002_022E,B15002_022M,B15002_023E,B15002_023M,B15002_024E,B15002_024M,B15002_025E,B15002_025M,B15002_026E,B15002_026M,B15002_027E,B15002_027M,B15002_028E,B15002_028M,B15002_029E,B15002_029M,B15002_030E,B15002_030M,B15002_031E,B15002_031M,B15002_032E,B15002_032M,B15002_033E,B15002_033M,B15002_034E,B15002_034M,B15002_035E,B15002_035M,B15002_calc_numLTHSE,B15002_calc_numLTHSM,B15002_calc_pctLTHSE,B15002_calc_pctLTHSM,B15002_calc_numHSE,B15002_calc_numHSM,B15002_calc_pctHSE,B15002_calc_pctHSM,B15002_calc_numSomeCollE,B15002_calc_numSomeCollM,B15002_calc_pctSomeCollE,B15002_calc_pctSomeCollM,B15002_calc_numAAE,B15002_calc_numAAM,B15002_calc_pctAAE,B15002_calc_pctAAM,B15002_calc_numGEBAE,B15002_calc_numGEBAM,B15002_calc_pctGEBAE,B15002_calc_pctGEBAM,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
1,04013111204,6556509,89237,Census Tract 1112.04,Arizona,Maricopa County,1697,261,905,200,0,12,33,52,0,12,0,12,15,23,0,12,28,39,20,23,190,89,48,32,181,87,78,63,272,93,19,20,0,12,21,34,792,153,0,12,17,22,0,12,23,36,0,12,25,31,0,12,10,17,172,68,93,63,165,79,55,42,157,82,67,42,8,13,0,12,171,96,10.1,5.44061324183035,362,112,21.3,5.72664965478456,487,137,28.7,6.75969280382759,133,76,7.8,4.31322556567092,544,138,32.1,6.46693602631581,9573856.93931664,13320.8001102158,24180.3359375,5723.79899604002
2,04013113801,5298116,23064,Census Tract 1138.01,Arizona,Maricopa County,1508,238,803,159,6,11,12,21,14,22,64,56,45,42,18,41,20,19,31,32,35,23,84,62,113,62,41,24,183,73,63,29,43,34,31,32,705,142,0,12,36,35,49,49,33,46,0,12,10,15,0,12,28,33,58,41,5,10,138,65,63,35,161,60,93,43,6,10,25,17,360,127,23.9,7.5319513339237,93,47,6.2,2.96083231309964,340,110,22.5,6.3676201222719,104,42,6.9,2.56365344129973,605,119,40.1,4.70952532442161,7663314.63762454,17875.2875205429,110.32421875,1753.34979255933
3,04013113802,13559624,51059,Census Tract 1138.02,Arizona,Maricopa County,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,45,,,0,17,,,0,24,,,0,17,,,0,34,,,19594982.1755026,21780.5098625162,23308.26171875,6116.63939625355
4,04013115200,7119374,90602,Census Tract 1152,Arizona,Maricopa County,1690,197,911,188,3,7,50,58,55,46,31,32,52,44,10,21,81,84,5,10,283,110,66,35,142,86,19,26,96,83,8,12,10,14,0,12,779,114,12,13,20,32,57,47,78,43,58,49,14,16,55,52,40,38,201,72,29,26,136,65,28,40,16,19,35,28,0,12,0,12,606,167,35.9,8.95408361933432,484,131,28.6,6.99575060550106,373,116,22.1,6.36349196116518,47,48,2.8,2.82167496449705,165,94,9.8,5.44445060095384,10375567.7278726,14805.7699844765,12651.921875,3671.3991818045
5,04013116202,1454220,0,Census Tract 1162.02,Arizona,Maricopa County,3128,287,1553,212,57,54,24,27,56,55,101,58,29,31,6,9,144,97,142,94,323,110,102,70,154,74,131,68,229,120,55,55,0,17,0,17,1575,196,69,44,54,54,56,65,26,28,12,18,40,42,36,48,51,38,585,159,92,66,193,98,145,77,191,84,15,19,0,17,10,16,777,200,24.8,5.97386210705127,908,193,29,5.56562818759099,541,156,17.3,4.72801012646488,276,103,8.8,3.19176674619475,500,161,16,4.93368344067183,2091489.05426543,6131.04789173004,326.98046875,98.6734347729556
6,04013116204,2565916,0,Census Tract 1162.04,Arizona,Maricopa County,2518,218,1162,182,26,33,33,41,41,48,85,87,0,12,23,36,31,32,8,16,435,167,56,51,154,80,107,74,151,84,12,19,0,12,0,12,1356,198,78,65,33,49,51,62,30,32,120,88,65,59,7,12,20,30,437,167,54,41,152,86,69,41,175,106,65,46,0,12,0,12,547,184,21.7,7.06120813730126,872,236,34.6,8.88002531677047,416,134,16.5,5.12586142493489,176,85,7,3.32101176880622,403,146,16,5.63025200590914,3691321.79429649,7687.0625760345,3600.38671875,2774.39565172549
7,04013116709,1087183,0,Census Tract 1167.09,Arizona,Maricopa County,1932,161,938,157,25,30,0,12,1,6,0,12,0,12,0,12,42,63,12,19,200,107,51,41,138,65,88,46,286,88,78,36,6,9,11,11,994,137,0,12,0,12,0,12,0,12,18,19,13,21,4,6,0,12,160,78,44,30,208,92,140,67,193,60,183,80,7,10,24,18,90,80,4.7,4.12254977279348,360,132,18.6,6.65350474708961,441,124,22.8,6.12986749147584,228,81,11.8,4.07557343375353,788,140,40.8,6.39980345815166,1562445.80992796,5593.00347050612,361.2265625,354.339487132619
8,04013116717,1073855,0,Census Tract 1167.17,Arizona,Maricopa County,2200,205,1031,162,0,12,0,12,0,12,0,12,0,12,0,12,19,21,0,12,166,80,229,97,100,66,130,83,328,138,40,36,19,21,0,12,1169,142,0,12,0,12,0,12,0,12,0,12,0,12,18,20,11,16,200,89,166,68,225,81,114,60,333,102,82,66,20,22,0,12,48,52,2.2,2.35487656093462,366,120,16.6,5.2296200222527,720,158,32.7,6.50219446703172,244,102,11.1,4.51971296732597,822,191,37.4,7.953134464855,1542267.74520087,5519.03177300888,0.38671875,2.54103982962877
9,04013218000,2627057,0,Census Tract 2180,Arizona,Maricopa County,4651,476,2498,395,0,17,0,17,0,17,13,25,0,17,12,19,23,30,35,43,577,267,157,60,408,129,245,154,805,294,170,85,53,50,0,17,2153,271,8,17,0,17,30,39,76,91,0,17,0,17,0,17,47,73,469,141,117,77,489,193,286,120,427,157,204,104,0,17,0,17,236,145,5.1,3.07405338826605,1046,302,22.5,6.07159326059985,1171,252,25.2,4.76625350752157,531,195,11.4,4.0265394222945,1659,364,35.7,6.92270925391021,3785569.40951152,7779.13341991128,2.765625,11.0164473866242
10,04013218100,973218,0,Census Tract 2181,Arizona,Maricopa County,1697,198,882,155,0,12,8,11,12,18,0,12,0,12,17,18,0,12,17,20,176,69,104,91,169,81,77,48,206,80,74,47,13,15,9,15,815,127,0,12,20,31,7,11,21,34,0,12,20,19,0,12,14,14,179,75,93,48,122,47,83,45,191,90,45,26,13,15,7,10,136,68,8,3.89644446308846,355,102,20.9,5.49271839767072,488,139,28.8,7.47219759342132,160,66,9.4,3.73039443478873,558,135,32.9,6.96897989501493,1402046.83870217,4812.67330650023,21726.6328125,3912.61757362112
