YEAR,DROP OUT RATE (ELEM),DROP OUT RATE (JHS),DROP OUT RATE (SHS),DROP OUT RATE (ELEM),DROP OUT RATE (JHS),DROP OUT RATE (SHS)
-,(FEMALE),(FEMALE),(FEMALE),(MALE),(MALE),(MALE)
2006,5,6.7,..,7.6,10.5,..
2007,4.7,5.6,..,7.2,9.3,..
2008,4.9,5.8,..,7.1,9.1,..
2009,4.9,6.2,..,7.5,9.7,..
2010,5,5.7,..,7.5,9.5,..
2011,5.2,5.6,..,7.5,10,..
2012,5.1,6.1,..,7.3,10,..
2013,3.8,5.8,..,5.3,9.4,..
2014,2.8,5.5,..,3.7,8,..
2015,2,5,..,3.3,8.3,..
2016,1,4.4,..,2,7.9,..
2017,1.1,3.7,..,2,6.7,..
2018,0.1,2.2,2.9,0.8,5.3,4.9
2019,0.3,3.2,3.8,1.1,6.2,5.8
2020,3.3,4.7,5.3,4.2,7.6,8
