Entity,Code,Year,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,"GDP per capita, PPP (current international $)",Population (historical estimates),Continent
Brunei,BRN,2000,,66439.13672,333166,
Brunei,BRN,2001,,68349.93038,340037,
Brunei,BRN,2002,,70717.779,346777,
Brunei,BRN,2003,,72755.32113,353295,
Brunei,BRN,2004,,73808.32138,359434,
Brunei,BRN,2005,,75214.16712,365112,
Brunei,BRN,2006,,79772.89055,370262,
Brunei,BRN,2007,,81012.99009,374967,
Brunei,BRN,2008,,80036.74599,379418,
Brunei,BRN,2009,,78298.52299,383902,
Brunei,BRN,2010,,80280.02445,388634,
Brunei,BRN,2011,,83935.22572,393687,
Brunei,BRN,2012,,88245.95835,398997,
Brunei,BRN,2013,,83788.51089,404414,
Brunei,BRN,2014,,81371.23087,409778,
Brunei,BRN,2015,,62540.62522,414914,Asia
Brunei,BRN,2016,,56297.22671,419791,
Brunei,BRN,2017,,60994.53156,424481,
Brunei,BRN,2018,,61839.11757,428960,
Brunei,BRN,2019,,64724.13239,433296,
Brunei,BRN,2020,,65661.69393,437483,
Brunei,BRN,2021,,,441532,
Cambodia,KHM,1993,,1130.052555,9970727,
Cambodia,KHM,1994,,727.1104117,10317901,
Cambodia,KHM,1995,,789.9784828,10656145,
Cambodia,KHM,1996,,826.5392346,10982919,
Cambodia,KHM,1997,,850.0469965,11298594,
Cambodia,KHM,1998,,876.4386318,11600510,
Cambodia,KHM,1999,,977.9487409,11886464,
Cambodia,KHM,2000,,1075.410203,12155241,
Cambodia,KHM,2001,,1164.580646,12405411,
Cambodia,KHM,2002,,1237.653777,12637719,
Cambodia,KHM,2003,,1344.623967,12856171,
Cambodia,KHM,2004,,1499.086236,13066475,
Cambodia,KHM,2005,,1723.314317,13273355,
Cambodia,KHM,2006,,1936.882901,13477705,
Cambodia,KHM,2007,,2159.624609,13679953,
Cambodia,KHM,2008,,2314.462012,13883835,
Cambodia,KHM,2009,,2299.386884,14093605,
Cambodia,KHM,2010,,2427.244502,14312205,
Cambodia,KHM,2011,,2611.306349,14541421,
Cambodia,KHM,2012,,2868.737515,14780454,
Cambodia,KHM,2013,,3045.590961,15026330,
Cambodia,KHM,2014,,3185.336272,15274506,
Cambodia,KHM,2015,,3388.737638,15521435,Asia
Cambodia,KHM,2016,,3675.03862,15766290,
Cambodia,KHM,2017,,3928.373934,16009413,
Cambodia,KHM,2018,,4259.203119,16249795,
Cambodia,KHM,2019,,4574.403027,16486542,
Cambodia,KHM,2020,,4422.045743,16718971,
Indonesia,IDN,1999,1624.307056,4484.069189,208615171,
Indonesia,IDN,2000,1357.322557,4743.944717,211513822,
Indonesia,IDN,2001,1172.250584,4956.361105,214427419,
Indonesia,IDN,2002,974.8811724,5190.365062,217357790,
Indonesia,IDN,2003,1002.163125,5465.264103,220309473,
Indonesia,IDN,2008,1616.788272,7710.666304,235469755,
Indonesia,IDN,2009,1563.946462,8021.748065,238620554,
Indonesia,IDN,2010,1637.627344,8505.748148,241834226,
Indonesia,IDN,2012,1559.898055,9713.900487,248451714,
Indonesia,IDN,1990,,3082.082407,181413398,
Indonesia,IDN,1991,,3347.890609,184591897,
Indonesia,IDN,1992,,3585.527826,187739786,
Indonesia,IDN,1993,,3845.202069,190851184,
Indonesia,IDN,1994,,4156.647876,193917458,
Indonesia,IDN,1995,,4522.293019,196934257,
Indonesia,IDN,1996,,4891.439253,199901231,
Indonesia,IDN,1997,,5134.507989,202826444,
Indonesia,IDN,1998,,4447.174302,205724597,
Indonesia,IDN,2004,,5816.181753,223285666,
Indonesia,IDN,2005,,6254.614382,226289468,
Indonesia,IDN,2006,,6708.575594,229318262,
Indonesia,IDN,2007,,7229.538282,232374239,
Indonesia,IDN,2011,,9095.741723,245115988,
Indonesia,IDN,2013,,10067.46574,251805314,
Indonesia,IDN,2014,,10278.17731,255128076,
Indonesia,IDN,2015,,10247.20634,258383257,Asia
Indonesia,IDN,2016,,10494.4738,261556386,
Indonesia,IDN,2017,,10935.63172,264650968,
Indonesia,IDN,2018,,11644.75854,267670549,
Indonesia,IDN,2019,,12311.50327,270625567,
Indonesia,IDN,2020,,12073.46151,273523621,
Indonesia,IDN,1989,,,178209147,
Indonesia,IDN,2021,,,276361788,
Laos,LAO,1990,,1025.760259,4258471,
Laos,LAO,1991,,1075.512133,4379234,
Laos,LAO,1992,,1129.932347,4500346,
Laos,LAO,1993,,1193.379432,4619946,
Laos,LAO,1994,,1286.049376,4735837,
Laos,LAO,1995,,1373.254755,4846477,
Laos,LAO,1996,,1463.661541,4951189,
Laos,LAO,1997,,1559.989616,5050308,
Laos,LAO,1998,,1610.077188,5144601,
Laos,LAO,1999,,1722.283491,5235339,
Laos,LAO,2000,,1831.968818,5323701,
Laos,LAO,2001,,1948.394966,5409584,
Laos,LAO,2002,,2064.430693,5493247,
Laos,LAO,2003,,2196.991651,5576640,
Laos,LAO,2004,,2363.318829,5662199,
Laos,LAO,2005,,2569.536959,5751675,
Laos,LAO,2006,,2829.041968,5846075,
Laos,LAO,2007,,3073.742304,5944950,
Laos,LAO,2008,,3321.909776,6046630,
Laos,LAO,2009,,3538.648499,6148621,
Laos,LAO,2010,,3822.625307,6249168,
Laos,LAO,2011,,4150.826134,6347564,
Laos,LAO,2012,,4841.645315,6444527,
Laos,LAO,2013,,5289.478007,6541302,
Laos,LAO,2014,,5873.749297,6639763,
Laos,LAO,2015,,6168.481302,6741160,Asia
Laos,LAO,2016,,6843.559583,6845848,
Laos,LAO,2017,,7257.812107,6953031,
Laos,LAO,2018,,7775.131876,7061498,
Laos,LAO,2019,,8220.178873,7169456,
